id,disease,location,hospital_name,age_group,treatment_type,budget,total_patient,successful_patients,success_rate,rating
1,Diabetes,Tarn Taran,Tarn Taran City Hospital,Senior Citizen,Radiotherapy,133393,1878,1268,67.52,4.3
2,Liver Disease,Khanna,Khanna City Hospital,Adult,Medication,20622,817,601,73.56,3.1
3,Kidney Disease,Nawanshahr,Nawanshahr City Hospital,Teenager,ICU Care,224949,1855,1572,84.74,4.0
4,COVID-19,Amritsar,Amritsar Multicare Hospital,Adult,Dialysis,150684,1323,1013,76.57,4.9
5,Hypertension,Faridkot,Faridkot City Hospital,Adult,Surgery,193208,2867,2261,78.86,4.5
6,Kidney Disease,Malerkotla,Malerkotla Prime Healthcare,Child,Vaccination,46313,4572,3343,73.12,4.6
7,Liver Disease,Nawanshahr,Nawanshahr Multicare Hospital,Teenager,Surgery,29025,1916,1445,75.42,5.0
8,Dengue,Pathankot,Pathankot City Hospital,Young Adult,Emergency Care,338281,3038,2155,70.93,3.4
9,Pneumonia,Hoshiarpur,Hoshiarpur Life Care Centre,Senior Citizen,Surgery,324360,1451,1416,97.59,4.3
10,Dengue,Mohali,Mohali Healthcare Point,Young Adult,ICU Care,120141,2706,1737,64.19,3.1
11,Dengue,Ludhiana,Ludhiana Life Hospital,Young Adult,Surgery,115615,4696,4611,98.19,4.3
12,Typhoid,Hoshiarpur,Hoshiarpur Life Care Centre,Adult,Emergency Care,79905,2219,1473,66.38,3.1
13,COVID-19,Kapurthala,Kapurthala Multicare Hospital,Middle Age,Vaccination,475717,4830,3715,76.92,3.4
14,Typhoid,Bathinda,Bathinda Life Care Centre,Child,Medication,456465,948,646,68.14,4.1
15,Liver Disease,Khanna,Khanna Prime Healthcare,Child,Vaccination,205078,4931,3916,79.42,3.8
16,Cancer,Kapurthala,Kapurthala City Hospital,Senior Citizen,Surgery,362412,4448,4205,94.54,3.2
17,Hypertension,Tarn Taran,Tarn Taran Multicare Hospital,Young Adult,Vaccination,87920,3766,2265,60.14,4.9
18,Kidney Disease,Malerkotla,Malerkotla Multicare Hospital,Teenager,ICU Care,483479,921,872,94.68,3.2
19,Heart Disease,Tarn Taran,Tarn Taran Health Centre,Young Adult,Physiotherapy,287789,4394,2637,60.01,4.0
20,Hypertension,Muktsar,Muktsar City Hospital,Young Adult,Radiotherapy,130541,524,375,71.56,4.7
21,COVID-19,Jalandhar,Jalandhar City Hospital,Adult,Surgery,403774,4413,4215,95.51,2.8
22,Kidney Disease,Khanna,Khanna Prime Healthcare,Teenager,Radiotherapy,281653,3516,2542,72.3,4.8
23,COVID-19,Malerkotla,Malerkotla Health Centre,Young Adult,Vaccination,357157,3109,2762,88.84,4.7
24,Asthma,Mansa,Mansa City Hospital,Teenager,Surgery,182254,222,208,93.69,3.9
25,Diabetes,Rupnagar,Rupnagar Health Centre,Child,Medication,125031,602,592,98.34,2.6
26,Kidney Disease,Faridkot,Faridkot City Hospital,Teenager,Radiotherapy,355737,4026,2853,70.86,3.8
27,Asthma,Malerkotla,Malerkotla Prime Healthcare,Adult,Vaccination,104829,822,542,65.94,4.1
28,Dengue,Moga,Moga Prime Healthcare,Adult,Medication,358036,856,544,63.55,3.5
29,Asthma,Faridkot,Faridkot City Hospital,Teenager,Chemotherapy,286168,3725,2522,67.7,3.6
30,Asthma,Gurdaspur,Gurdaspur Prime Healthcare,Child,Emergency Care,428636,4558,2934,64.37,2.6
31,Hypertension,Kapurthala,Kapurthala City Hospital,Teenager,Physiotherapy,218078,4028,3401,84.43,3.0
32,Heart Disease,Barnala,Barnala City Hospital,Adult,Medication,209693,2222,2135,96.08,4.5
33,COVID-19,Firozpur,Firozpur Prime Medical Centre,Senior Citizen,ICU Care,352011,4036,2738,67.84,3.0
34,Liver Disease,Hoshiarpur,Hoshiarpur Civil Hospital,Senior Citizen,ICU Care,36959,2619,1688,64.45,2.6
35,Diabetes,Muktsar,Muktsar Health Centre,Middle Age,Surgery,451348,1572,1013,64.44,4.0
36,Dengue,Khanna,Khanna Health Centre,Child,Counselling,134087,4792,4092,85.39,2.6
37,Cancer,Jalandhar,Jalandhar Advanced Medical Centre,Middle Age,Counselling,279088,2641,2118,80.2,3.0
38,Asthma,Abohar,Abohar Multicare Hospital,Young Adult,Vaccination,73617,2507,1972,78.66,3.3
39,Typhoid,Jalandhar,Jalandhar Care Hospital,Middle Age,Counselling,57418,650,499,76.77,3.8
40,Thyroid Disorder,Bathinda,Bathinda Multicare Hospital,Child,Chemotherapy,198738,2384,1591,66.74,3.6
41,Liver Disease,Kapurthala,Kapurthala Multicare Hospital,Senior Citizen,ICU Care,9101,4593,3368,73.33,4.8
42,Pneumonia,Patiala,Patiala Multicare Hospital,Child,Surgery,394240,4582,3067,66.94,3.2
43,COVID-19,Nawanshahr,Nawanshahr Health Centre,Young Adult,Chemotherapy,365446,2212,1844,83.36,3.7
44,Cancer,Ludhiana,Ludhiana City Hospital,Adult,Radiotherapy,28114,79,68,86.08,4.4
